# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	17438
#@/user_id	965b802b-6d45-476d-ab25-d046d79127f1
a 	啊	c=1 d=1 t=17434
ju shi 	局勢	c=2 d=1.76338 t=1624
ju ti 	具體	c=15 d=1.02907 t=16207
ju ti de 	具體的	c=1 d=1 t=4912
ju you 	具有	c=7 d=2.32757 t=14042
ju yu 	局域	c=1 d=1 t=15348
ju zhen 	矩陣	c=4 d=1 t=17421
ju zi 	句子	c=6 d=1 t=16404
juan ce 	捐冊	c=1 d=1 t=10891
juan dian 	卷點	c=1 d=1 t=4794
juan ji 	卷積	c=34 d=1.20241 t=14116
juan ji 	涓吉	c=1 d=1 t=1150
juan ji ceng 	卷積層	c=3 d=1.97531 t=12495
juan ji he 	卷積核	c=19 d=1.04882 t=12919
jue 	覺	c=1 d=1 t=13113
jue ce 	決策	c=1 d=1 t=17179
jue cha 	覺察	c=8 d=1 t=13053
jue da 	絕大	c=1 d=1 t=2219
jue de 	覺得	c=2 d=1 t=15520
jue ding 	決定	c=1 d=1 t=17123
jue se 	角色	c=1 d=1 t=15614
jue wu 	覺悟	c=1 d=1 t=5942
jue xin 	決心	c=0 d=0.1 t=17237
jue xing 	覺醒	c=1 d=1 t=14169
jun yun 	均勻	c=1 d=1 t=9504
jun zheng 	軍政	c=1 d=1 t=3369
jun zhi 	均值	c=2 d=1.92774 t=9527
ka 	卡	c=1 d=0.100602 t=7929
ka lun 	卡倫	c=0 d=0.1 t=7238
kai 	開	c=1 d=1 t=13656
kai chong 	開重	c=1 d=1 t=17305
kai chu 	開出	c=1 d=1 t=17135
kai chu 	開除	c=3 d=1.99826 t=17281
kai dai ma 	開代碼	c=1 d=1 t=9357
kai fa 	開發	c=1 d=1 t=13835
kai juan 	開卷	c=1 d=1 t=13110
kai shi 	開始	c=10 d=1.00596 t=16576
kai ti 	開題	c=2 d=1 t=16417
kai wu 	開悟	c=1 d=1 t=3595
kai zhan 	開展	c=1 d=1 t=17302
kai zhe 	開着	c=2 d=1.37719 t=14723
kan 	看	c=10 d=1.7216 t=14947
kan dai ma 	看代碼	c=1 d=1 t=13029
kan dao 	看到	c=6 d=1.69642 t=15774
kan de dong 	看得懂	c=1 d=1 t=9657
kan dong 	看懂	c=1 d=1 t=8998
kan jian 	看見	c=2 d=1.97045 t=14719
kan kan 	看看	c=2 d=1.06654 t=14333
kan zhong 	看重	c=1 d=1 t=15661
kan zuo 	看作	c=1 d=1 t=11840
kao 	靠	c=0 d=0.1 t=530
kao cha 	考察	c=1 d=1 t=4948
kao he 	考覈	c=1 d=1 t=17419
kao ku chang 	靠枯腸	c=1 d=1 t=531
kao lv 	考慮	c=3 d=1 t=6936
kao lv dao 	考慮到	c=1 d=1 t=4597
kao shi 	考試	c=1 d=1 t=532
kao yan 	考研	c=4 d=3.0433 t=553
ke 	可	c=8 d=0.109653 t=16792
ke bei 	可悲	c=1 d=1 t=5217
ke ben 	課本	c=1 d=1 t=13225
ke bi 	科比	c=0 d=0.1 t=12930
ke bi ji cun 	科比寄存	c=1 d=1 t=12931
ke bian 	可變	c=2 d=1 t=8445
ke bian xing 	可變性	c=1 d=1 t=8404
ke ce lian 	可側鏈	c=1 d=1 t=3734
ke cheng 	課程	c=1 d=1 t=14250
ke chong ru 	可重入	c=3 d=2.37125 t=16712
ke du 	可讀	c=1 d=1 t=2773
ke fen li 	可分離	c=2 d=1 t=12904
ke fu 	可負	c=1 d=1 t=13024
ke hu duan 	客戶端	c=2 d=1.1028 t=17390
ke hua 	刻畫	c=1 d=1 t=15765
ke ji 	科技	c=2 d=1 t=14269
ke jian du 	可見度	c=1 d=1 t=15247
ke kao 	可靠	c=2 d=1 t=14236
ke lian 	可憐	c=1 d=1 t=1224
ke neng 	可能	c=27 d=1.00486 t=16929
ke neng nai 	可能耐	c=5 d=1.00009 t=13310
ke qi 	可期	c=1 d=1 t=14868
ke shi 	可是	c=6 d=1.62814 t=13196
ke tong 	可通	c=1 d=1 t=10966
ke tong guo 	可通過	c=1 d=1 t=16793
ke wen 	課文	c=1 d=1 t=13215
ke xia 	刻下	c=1 d=1 t=15643
ke xia 	可下	c=1 d=1 t=15644
ke xie 	可寫	c=1 d=1 t=2774
ke xing 	可行	c=1 d=1 t=15916
ke xu 	科需	c=1 d=1 t=7072
ke xuan 	可選	c=2 d=1 t=11768
ke xue 	科學	c=4 d=1 t=13751
ke yi 	可以	c=120 d=1.64358 t=16746
ke yi cong 	可以從	c=1 d=1 t=9219
ke yi xue xi 	可以學習	c=1 d=1 t=8106
ke yi zai 	可以在	c=1 d=1 t=12496
ke yong yu 	可用於	c=1 d=1 t=1358
ke zheng 	可正	c=1 d=1 t=13023
ke zhi 	可知	c=1 d=1 t=10310
ke zhuan 	可轉	c=1 d=1 t=16993
ken ding 	肯定	c=2 d=1 t=8912
keng 	坑	c=1 d=1 t=14361
kong 	空	c=1 d=1.00002 t=13160
kong bai 	空白	c=1 d=1 t=13891
kong dong 	孔洞	c=2 d=1.99501 t=14242
kong dong 	空洞	c=1 d=1 t=14240
kong ge 	空格	c=3 d=1.90937 t=14091
kong jian 	空間	c=28 d=1.90032 t=15045
kong jian zhong 	空間中	c=2 d=1 t=7713
kong ming 	孔明	c=1 d=1 t=10205
kong zhe 	空着	c=1 d=1 t=503
kong zhi 	控制	c=7 d=1 t=16602
kong zhi liu 	空直流	c=1 d=1 t=11415
kou ya 	扣壓	c=1 d=1 t=17118
kou yu hua 	口語化	c=1 d=1 t=9739
ku 	厙	c=7 d=3.89969 t=16748
ku 	庫	c=3 d=1 t=16490
ku 	苦	c=1 d=1 t=14172
ku chang 	枯腸	c=0 d=0.1 t=530
ku lai 	哭來	c=1 d=1 t=16522
ku zao 	枯燥	c=1 d=1 t=5066
kua 	跨	c=1 d=1 t=6448
kuai 	塊	c=5 d=1.16625 t=12186
kuai 	快	c=-2 d=0.656221 t=13888
kuai chuan 	快傳	c=1 d=1 t=17383
kuai dian 	快點	c=1 d=1 t=3143
kuai man 	快慢	c=1 d=1 t=4301
kuai su 	快速	c=6 d=1 t=15249
kuan 	寬	c=1 d=1 t=2064
kuan du 	寬度	c=4 d=1 t=13636
kuang 	框	c=0 d=0.1 t=1059
kuang jia 	框架	c=13 d=1.00312 t=14990
kuang jian 	狂簡	c=3 d=1 t=7711
kuang zhi 	礦質	c=1 d=1 t=12359
kui 	虧	c=1 d=1 t=13524
kun jian 	困間	c=1 d=1 t=3353
kun nan 	困難	c=6 d=1 t=14896
kuo 	擴	c=1 d=1 t=15434
kuo chi 	擴喫	c=1 d=1 t=9699
kuo da 	擴大	c=2 d=1.9802 t=14257
kuo hao 	括號	c=2 d=1.98511 t=12424
kuo jian 	擴建	c=1 d=1 t=14254
la 	啦	c=1 d=1 t=14590
la cheng 	拉成	c=1 d=1 t=10268
lai 	來	c=70 d=2.46987 t=16705
lai chi 	來喫	c=0 d=0.1 t=7644
lai chuai song 	來踹松	c=1 d=1 t=1373
lai deng e 	來等額	c=1 d=1 t=15414
lai en 	萊恩	c=1 d=1 t=1990
lai jin xing 	來進行	c=1 d=1 t=1978
lai kan 	來看	c=3 d=1 t=14756
lai le 	來了	c=4 d=1 t=15313
lai mai 	來買	c=0 d=0.1 t=1769
lai ri 	來日	c=2 d=1.8825 t=14866
lai shuo 	來說	c=3 d=1 t=16915
lai wen 	來問	c=1 d=1 t=9833
lai xin 	來信	c=1 d=1 t=2207
lai yuan 	來源	c=4 d=1.18087 t=15851
lai yuan yu 	來源於	c=1 d=1 t=9204
lai zi 	來自	c=4 d=1.2112 t=10299
lai zi yu 	來自於	c=1 d=1 t=1737
lan tian 	藍天	c=1 d=1 t=14729
lan yue 	攬月	c=1 d=1 t=15639
lang fang 	廊坊	c=1 d=1 t=2292
lao 	老	c=0 d=0.1 t=3505
lao gu 	牢固	c=1 d=1 t=17325
lao hu 	老胡	c=2 d=1.99005 t=16769
lao ji 	牢記	c=1 d=1 t=17307
lao lei 	勞累	c=2 d=1 t=13133
lao qu 	老去	c=1 d=1 t=10496
lao shi 	老師	c=11 d=1.09681 t=17077
lao zao 	老早	c=1 d=1 t=2211
le 	了	c=253 d=1.32268 t=17416
le le 	樂樂	c=1 d=1 t=3766
le qu 	樂趣	c=2 d=1.98511 t=13300
lei 	累	c=3 d=2.12236 t=13167
lei 	類	c=7 d=1.60653 t=16965
lei bie 	類別	c=1 d=1 t=11942
lei bie bi 	類別比	c=1 d=1 t=9895
lei da 	雷達	c=2 d=1.99501 t=1016
lei jian 	類間	c=1 d=1 t=1102
lei nao 	類鬧	c=2 d=1.99501 t=2089
lei nei 	類內	c=1 d=1 t=1099
lei qu 	雷區	c=1 d=1 t=13299
lei si 	類似	c=9 d=2.57806 t=13693
lei xing 	類型	c=20 d=6.44739 t=5741
leng jing 	冷靜	c=1 d=1 t=583
li 	力	c=1 d=1 t=6046
li 	理	c=2 d=1.6157 t=6091
li 	立	c=2 d=1.5627 t=610
li 	裏	c=18 d=1.11102 t=14284
li chao 	李超	c=1 d=1 t=16762
li du 	粒度	c=1 d=1 t=12512
li gong 	理工	c=2 d=1 t=15936
li gong ke 	理工科	c=2 d=1.73345 t=448
li hai 	厲害	c=1 d=1 t=50
li jian 	李健	c=3 d=1.00009 t=13878
li jie 	理解	c=13 d=1.00077 t=13776
li jie wei 	理解爲	c=1 d=1 t=5305
li jun 	李俊	c=1 d=1 t=6782
li liang 	力量	c=1 d=1 t=10321
li lun 	理論	c=4 d=1.33305 t=7003
li lun ji chu 	理論基礎	c=1 d=1 t=13726
li ma 	立馬	c=1 d=1 t=11557
li man 	黎曼	c=1 d=1 t=7339
li mian 	裏面	c=4 d=1.00425 t=16838
li nu xing 	裏奴性	c=4 d=1.00006 t=17092
li qian 	李倩	c=2 d=1.99501 t=2289
li ru 	例如	c=1 d=1 t=4540
li shi 	歷史	c=3 d=2.13673 t=10389
li ta 	利他	c=1 d=1 t=3607
li tui xiu 	離退休	c=1 d=1 t=13760
li xiang 	理想	c=2 d=1.00105 t=13729
li xiao 	離校	c=1 d=1 t=14430
li xiao long 	李小龍	c=1 d=1 t=10147
li xin lv 	離心率	c=1 d=1 t=7526
li xiu 	離休	c=1 d=1 t=13765
li yong 	利用	c=22 d=1 t=17151
li zhi 	李志	c=2 d=1.99005 t=16109
li zhi 	理智	c=0 d=0.1 t=3781
li zhong 	利衆	c=1 d=1 t=3594
li zi 	例子	c=1 d=1 t=10124
li zi 	粒子	c=2 d=1.00001 t=10123
lian 	連	c=2 d=0.315776 t=14076
lian 	鏈	c=0 d=0.1 t=11253
lian biao 	鏈表	c=2 d=1 t=11665
lian bu 	臉部	c=2 d=1.93239 t=3228
lian bu liao 	連不了	c=2 d=1.99501 t=14078
lian dong 	聯動	c=1 d=1 t=6459
lian he 	聯合	c=12 d=1.00001 t=17360
lian he you hua 	聯合優化	c=1 d=1 t=6433
lian jie 	廉潔	c=1 d=1 t=17108
lian jie 	連接	c=2 d=1 t=15347
lian jie 	鏈接	c=6 d=1.00086 t=16753
lian jie ku 	鏈接庫	c=1 d=1 t=5608
lian shi 	鏈式	c=1 d=1 t=7263
lian tiao 	鏈條	c=1 d=1 t=6192
lian wang 	聯網	c=1 d=1 t=16117
lian xi 	練習	c=2 d=0.1 t=10079
lian xi 	聯繫	c=4 d=1 t=15018
lian xi zu 	練習組	c=1 d=1 t=10080
lian xiang 	聯想	c=3 d=2.97032 t=17070
lian xu 	連續	c=9 d=2.72664 t=11954
liang 	亮	c=1 d=1 t=15219
liang 	量	c=4 d=0.996569 t=12523
liang bian 	兩遍	c=1 d=1 t=14963
liang bian 	兩邊	c=1 d=1 t=14962
liang bu 	兩步	c=1 d=1 t=13780
liang bu 	兩部	c=1 d=1 t=4806
liang bu fen 	兩部分	c=2 d=1.06822 t=1873
liang ceng 	兩層	c=1 d=1 t=13773
liang ci 	兩次	c=1 d=1.00944 t=8017
liang ci zhi 	兩次值	c=1 d=1 t=7546
liang du 	亮度	c=1 d=1.1 t=14288
liang duan 	兩段	c=1 d=1 t=3224
liang ge 	兩個	c=31 d=1.00497 t=17291
liang hua 	量化	c=0 d=0.1 t=16100
liang ku yong xin 	良苦用心	c=1 d=1 t=10543
liang kuai 	涼快	c=0 d=0.1 t=14529
liang lun 	兩輪	c=2 d=1.34646 t=7008
liang nian 	兩年	c=1 d=1 t=14571
liang pian 	兩篇	c=2 d=1.98511 t=15099
liang ren 	樑人	c=1 d=1 t=5016
liang wei 	兩位	c=1 d=1 t=14187
liang zhe 	兩者	c=7 d=1.03955 t=13614
liang zhong 	兩種	c=1 d=1 t=12707
liao 	聊	c=0 d=0.1 t=14885
liao bu jin 	聊不盡	c=1 d=1 t=14886
liao jie 	瞭解	c=6 d=2.55212 t=15110
liao le 	聊了	c=1 d=1 t=10476
liao liao tian 	聊聊天	c=1 d=1 t=335
liao tian 	聊天	c=1 d=1 t=14800
lie biao 	列表	c=1 d=1 t=12458
lie biao zhong 	列表中	c=1 d=1 t=3179
lin xi 	吝惜	c=1 d=1 t=575
ling 	令	c=2 d=1.10679 t=16047
ling 	零	c=3 d=0.694935 t=5197
ling cheng ben 	零成本	c=1 d=1 t=5198
ling dao 	領導	c=6 d=3.16952 t=17350
ling di 	領地	c=1 d=1 t=11387
ling gao 	另搞	c=1 d=1 t=17172
ling hui 	領會	c=2 d=1.90484 t=10455
ling huo 	靈活	c=2 d=1 t=12522
ling wai 	另外	c=6 d=2.93355 t=16660
ling wei 	另爲	c=1 d=1 t=10464
ling wei 	靈位	c=1 d=1 t=2160
ling ya 	苓雅	c=1 d=1 t=11382
ling yi fang mian 	另一方面	c=3 d=1.00009 t=10391
ling yi ge 	另一個	c=2 d=1 t=16701
ling you 	另有	c=1 d=1 t=16225
ling yu 	領域	c=3 d=1 t=15077
liu 	流	c=4 d=1 t=11418
liu 	留	c=1 d=1 t=509
liu cheng 	流程	c=1 d=1 t=6203
liu cheng tu 	流程圖	c=2 d=1 t=16941
liu dang 	留黨	c=1 d=1 t=17144
liu gei 	留給	c=2 d=1.99005 t=512
liu gui 	六龜	c=1 d=1 t=506
liu liang 	流量	c=1 d=1 t=16062
liu shao 	柳梢	c=1 d=1 t=15800
liu shi 	流式	c=1 d=1 t=11922
liu xia 	留下	c=1 d=1 t=9579
liu xing 	流行	c=1 d=1 t=7954
liu xu 	柳絮	c=1 d=1 t=11951
liu zhu 	流注	c=0 d=0.1 t=16881
lo 	咯	c=1 d=0.1 t=11422
lo neng jian pan 	咯能鍵盤	c=1 d=1 t=11423
long fei feng wu 	龍飛鳳舞	c=1 d=1 t=15622
long she 	龍蛇	c=1 d=1 t=8419
long wang 	龍王	c=3 d=1.11834 t=16047
long wang ling 	龍王令	c=1 d=1 t=16048
lou dong 	漏洞	c=4 d=2.95232 t=16426
lu 	路	c=4 d=1 t=13611
lu biao 	路標	c=1 d=1 t=2282
lu jing 	路徑	c=3 d=1 t=16869
lu man man 	路漫漫	c=1 d=1 t=10471
lu ping 	錄屏	c=2 d=1.99501 t=3181
lu qu 	錄取	c=1 d=1 t=16773
lu xiang 	錄像	c=1 d=1 t=17380
lu xiang ji 	錄像機	c=1 d=1 t=16466
lu xun 	魯迅	c=6 d=3.76585 t=13448
lu yin 	錄音	c=2 d=1.00745 t=17379
lu you qi 	路由器	c=1 d=1 t=17389
lu zhi 	錄製	c=1 d=1 t=16082
luan ma 	亂碼	c=1 d=1 t=16398
lun kuo 	輪廓	c=4 d=3.73557 t=6384
lun shu 	論述	c=1 d=1 t=12698
lun shu 	輪數	c=1 d=1 t=12699
lun tai 	輪胎	c=1 d=1 t=797
lun tan 	論壇	c=1 d=1 t=1166
lun wen 	論文	c=21 d=1.15102 t=15812
lun wen ji 	論文集	c=1 d=1 t=2046
lun wen zhong 	論文中	c=1 d=1 t=12877
lun zi 	輪子	c=1 d=1 t=13830
luo da you 	羅大佑	c=1 d=1 t=14101
luo ji 	邏輯	c=10 d=1.00004 t=16191
luo ji kuai 	邏輯塊	c=1 d=1 t=2934
lv 	率	c=3 d=1.00005 t=16755
lv bo 	濾波	c=1 d=1 t=13906
lv se 	綠色	c=1 d=1 t=2278
lv xing 	履行	c=1 d=1 t=17279
lv xing tuan 	旅行團	c=1 d=1 t=11884
ma 	嗎	c=2 d=1 t=15165
ma 	碼	c=2 d=1.00001 t=10641
ma 	馬	c=14 d=6.8251 t=15948
ma ke si 	馬克思	c=1 d=1 t=16401
ma ma 	媽媽	c=4 d=1 t=7867
ma nao 	瑪瑙	c=2 d=1.81465 t=17438
ma yi 	螞蟻	c=1 d=1 t=13345
man 	慢	c=3 d=1 t=12857
man 	滿	c=1 d=0.10538 t=3917
man le 	滿了	c=1 d=1 t=2873
man man 	慢慢	c=2 d=1.00001 t=15561
man yi dian 	慢一點	c=1 d=1 t=2262
mang zai 	忙在	c=1 d=1 t=15811
mao 	毛	c=1 d=1 t=15412
mao zhu xi 	毛主席	c=1 d=1 t=13441
me 	麼	c=0 d=0.1 t=5705
mei 	沒	c=5 d=1.00003 t=15172
mei ceng 	每層	c=1 d=1 t=10755
mei ci 	每次	c=3 d=1.96079 t=13015
mei ge 	每個	c=12 d=1 t=15605
mei ge ren 	每個人	c=1 d=1 t=15604
mei hao 	美好	c=1 d=1 t=15697
mei ju 	枚舉	c=3 d=2.82358 t=5308
mei ke 	每顆	c=1 d=1 t=1017
mei li 	美麗	c=1 d=1 t=17076
mei nian 	每年	c=1 d=1 t=14585
mei ri 	每日	c=1 d=1 t=621
mei ri mei ye 	沒日沒夜	c=1 d=1 t=14693
mei ti 	媒體	c=1 d=1 t=14996
mei tian 	每天	c=1 d=1 t=1019
mei tiao 	每條	c=1 d=1 t=15903
mei yi 	每一	c=0 d=0.1 t=4636
mei yi ge 	每一個	c=4 d=1.31822 t=11092
mei yi tian 	每一天	c=1 d=1 t=44
mei yi zhen 	每一幀	c=2 d=1.00001 t=6873
mei you 	沒有	c=31 d=2.50179 t=16648
mei you ren 	沒有人	c=1 d=1 t=148
mei zhi 	每隻	c=1 d=1 t=16079
men 	們	c=1 d=1 t=15650
men 	門	c=3 d=1 t=15649
men dao 	門道	c=1 d=1 t=14369
men kong 	門控	c=1 d=1 t=12125
men kong 	門空	c=1 d=1 t=12124
meng 	猛	c=1 d=1 t=13801
meng 	蒙	c=1 d=1 t=14192
meng de yu 	孟德宇	c=1 d=1 t=15097
meng te 	蒙特	c=0 d=0.103159 t=7929
meng te ka kuo 	蒙特卡擴	c=1 d=1 t=7930
meng te ka lun 	蒙特卡倫	c=1 d=1 t=7239
meng te ka luo 	蒙特卡洛	c=3 d=1.13713 t=7342
mi 	冪	c=1 d=1.01327 t=16809
mi 	米	c=3 d=2.03115 t=16944
mi ci fang 	冪次方	c=1 d=1 t=16406
mi du 	密度	c=13 d=1.11025 t=15894
mi du tu 	密度圖	c=2 d=1.97045 t=835
mi ji 	密集	c=2 d=1.8781 t=1080
mi lan 	米蘭	c=1 d=1 t=6573
mi ma 	密碼	c=6 d=1.06974 t=17396
mian 	麪	c=1 d=1 t=14516
mian ban 	面板	c=1 d=1 t=15356
mian dui 	面對	c=1 d=1 t=14657
mian li 	勉勵	c=1 d=1 t=563
mian lin 	面臨	c=1 d=1 t=6707
mian pian 	麪片	c=2 d=1.1678 t=4152
mian qian 	面前	c=2 d=1 t=6121
mian shu 	面熟	c=1 d=1 t=7732
mian xiang 	面向	c=3 d=1.74453 t=9641
miao 	秒	c=0 d=0.1 t=7253
miao shu 	描述	c=12 d=2.86849 t=16221
miao shu le 	描述了	c=1 d=1 t=7707
min gan 	敏感	c=3 d=1.00004 t=16351
min jie 	敏捷	c=2 d=1.99501 t=14238
min zhu 	民主	c=1 d=1 t=17293
min zu 	民族	c=1 d=0.900325 t=746
ming 	名	c=2 d=1 t=13897
ming cheng 	名稱	c=4 d=1 t=16505
ming dan 	名單	c=1 d=1 t=16774
ming lang 	明朗	c=1 d=1 t=379
ming ling 	命令	c=1 d=1 t=1184
ming ming 	明明	c=2 d=1.99005 t=11835
ming quan 	名犬	c=0 d=0.1 t=244
ming quan le 	名犬了	c=1 d=1 t=245
ming que 	明確	c=3 d=1 t=16669
ming ri 	明日	c=1 d=1 t=633
ming tian 	明天	c=1 d=1 t=14834
ming zi 	名字	c=2 d=1.74082 t=16020
mo 	莫	c=1 d=1 t=12560
mo ba 	摸吧	c=0 d=0.1 t=1502
mo ba jiang 	摸吧將	c=1 d=1 t=1503
mo hu 	模糊	c=3 d=1 t=13009
mo kuai 	模塊	c=34 d=1 t=16007
mo ming 	莫名	c=1 d=1 t=15158
mo ren 	默認	c=1 d=1 t=11708
mo shi 	模式	c=7 d=1.1653 t=12890
mo tai 	模態	c=0 d=0.1 t=6203
mo wei 	末尾	c=2 d=1.91851 t=15987
mo xing 	模型	c=56 d=3.80614 t=16997
mo yang 	模樣	c=1 d=1 t=6153
mou ge 	某個	c=1 d=1 t=12349
mou yi 	某一	c=0 d=0.1 t=11857
mou yi shi ke 	某一時刻	c=1 d=1 t=11858
mu ban 	模板	c=1 d=1 t=1504
mu biao 	目標	c=30 d=1.00072 t=13999
mu chang 	牧場	c=2 d=1.92774 t=17054
mu di 	目的	c=4 d=1 t=14209
mu di xing 	目的性	c=1 d=1 t=8599
mu du 	目睹	c=3 d=1.75931 t=4011
mu lu 	目錄	c=4 d=1 t=16397
mu lv 	木履	c=1 d=1 t=5320
mu qian 	目前	c=10 d=1.00577 t=16891
mu qian jiu 	目前就	c=1 d=1 t=3064
mu qin 	母親	c=1 d=1 t=1232
mu tiao 	木條	c=1 d=1 t=12379
mu yin 	木印	c=1 d=1 t=13492
na 	拿	c=2 d=1 t=15950
na 	那	c=3 d=1.09005 t=13609
na ge 	哪個	c=1 d=1 t=11766
na ge 	那個	c=10 d=1.03106 t=15759
na jiu 	那就	c=4 d=1.92312 t=14753
na li 	哪裏	c=5 d=1.32568 t=15680
na me 	那麼	c=8 d=1.00177 t=13153
na nian 	那年	c=2 d=1 t=15750
na shi 	那是	c=1 d=1 t=15781
na tian 	那天	c=3 d=1.52205 t=15669
na xie 	那些	c=8 d=1.72862 t=15727
na yang 	那樣	c=2 d=1.00099 t=10272
na yi ke 	那一刻	c=1 d=1 t=15768
na yi tiao 	那一條	c=1 d=1 t=13610
na zhe 	拿着	c=1 d=1 t=13335
na zhong 	那種	c=1 d=1 t=133
nai he 	奈何	c=1 d=1 t=10274
nai niu 	奶牛	c=1 d=1 t=17382
nai xin 	耐心	c=1 d=1 t=3099
nan 	難	c=1 d=0.100949 t=7258
nan gua 	南瓜	c=2 d=1.99501 t=2274
nan xiao 	南校	c=3 d=2.88504 t=15706
nao 	鬧	c=1 d=1 t=2193
nao hai zhong 	腦海中	c=1 d=1 t=13246
nao zi 	腦子	c=2 d=1 t=10383
ne 	呢	c=7 d=1.00162 t=15848
nei 	內	c=4 d=1.9802 t=12537
nei bu 	內部	c=3 d=1 t=11317
nei can 	內參	c=4 d=1.0754 t=8575
nei cun 	內存	c=26 d=1.01111 t=12360
nei cun ye 	內存頁	c=1 d=1 t=3014
nei han 	內涵	c=1 d=1 t=14228
nei he 	內核	c=7 d=1.86502 t=15001
nei lian 	內聯	c=1 d=1 t=5498
nei mo 	內膜	c=2 d=1.91393 t=6593
nei rong 	內容	c=46 d=1.0002 t=17290
nei wang 	內網	c=1 d=1 t=16842
nei xin 	內心	c=4 d=2.79659 t=14718
nei xun 	內訓	c=3 d=1.00001 t=7966
nei zai 	內在	c=1 d=1 t=8642
neng 	能	c=1 d=0.100001 t=13802
neng gou 	能夠	c=1 d=1 t=5869
neng lai chi 	能來喫	c=1 d=1 t=7645
neng li 	能力	c=9 d=1.07101 t=14265
neng nai 	能耐	c=0 d=0.1 t=3573
neng yuan 	能源	c=1 d=1 t=3125
neng yuan li 	能遠離	c=1 d=1 t=13803
neng zuo 	能做	c=1 d=1 t=6055
ni 	你	c=4 d=0.100013 t=17428
ni bu hui 	你不會	c=1 d=1 t=11543
ni da jia 	你大家	c=1 d=1 t=17429
ni de 	你的	c=1 d=1 t=15959
ni hao 	你好	c=3 d=1.00006 t=15845
ni hao a 	你好啊	c=1 d=1 t=17428
ni he 	你和	c=3 d=1.00003 t=3432
ni he 	擬合	c=8 d=0.218837 t=14290
ni xiang 	你想	c=1 d=1 t=16670
ni zhuan 	逆轉	c=1 d=1 t=1815
nian 	唸	c=2 d=1 t=16717
nian 	年	c=1 d=1 t=16718
nian dai 	年代	c=1 d=1 t=14170
nian guan 	年關	c=1 d=1 t=2127
nian le 	唸了	c=1 d=1 t=5960
nian lun 	年輪	c=1 d=1 t=14770
nian nei 	年內	c=1 d=1 t=17148
nian qian 	年前	c=2 d=1.9802 t=269
nian qing ren 	年輕人	c=1 d=1 t=10490
nian zhong 	年終	c=1 d=1 t=166
ning ju 	凝聚	c=1 d=1 t=17218
niu 	牛	c=4 d=2.83739 t=15294
niu du 	牛犢	c=1 d=1 t=1982
niu ti 	牛體	c=1 d=1 t=13937
niu yang 	牛羊	c=1 d=1 t=15291
niu zhi 	牛隻	c=1 d=1 t=13947
nong chang 	農場	c=1 d=1 t=1366
nong cheng 	弄成	c=1 d=1 t=1360
nong gong 	農工	c=1 d=1 t=16864
nong lin 	農林	c=1 d=1 t=3561
nong ye 	農業	c=2 d=1.03615 t=15877
nu li 	努力	c=1 d=1 t=708
nu xing 	奴性	c=0 d=0.1 t=14231
nuan hu 	暖壺	c=1 d=1 t=16991
nuo 	諾	c=1 d=1 t=2293
o 	哦	c=0 d=0.1 t=10836
ou he 	耦合	c=1 d=1 t=8779
ou la 	歐拉	c=0 d=0.1 t=4583
ou la jiao 	歐拉角	c=1 d=1 t=4584
ou lu 	歐路	c=1 d=1 t=15411
pa lai 	爬來	c=1 d=1 t=13346
pa qu 	爬去	c=1 d=1 t=13347
pai lie 	排列	c=2 d=1.8781 t=1081
pai ming 	排名	c=1 d=1 t=15242
pai yang 	拍羊	c=1 d=1 t=16867
pan 	盤	c=0 d=0.1 t=5373
pan bie 	判別	c=1 d=1 t=15424
pan bie qi 	判別其	c=1 d=1 t=976
pan bie xing 	判別性	c=1 d=1 t=1119
pan duan 	判斷	c=5 d=1.97045 t=6045
pan zhi zhen 	盤指針	c=1 d=1 t=5374
pang 	胖	c=2 d=1.96079 t=5383
pang bian 	旁邊	c=1 d=1 t=15537
pang za 	龐雜	c=1 d=1 t=10224
pang zi 	胖子	c=1 d=1 t=15390
pao chu 	拋出	c=4 d=2.42094 t=11350
pei ban 	陪伴	c=1 d=1 t=14883
pei pei 	陪陪	c=1 d=1 t=318
pei tao 	配套	c=1 d=1 t=12584
pei xun 	培訓	c=1 d=1 t=13723
pei yang 	培養	c=1 d=1 t=16873
pei zhi 	配置	c=8 d=3.08677 t=16851
peng you 	朋友	c=1 d=1 t=13550
peng zhang 	膨脹	c=1 d=1 t=2335
peng zhuang 	碰撞	c=2 d=1.94649 t=3402
pi ci 	批次	c=0 d=0.1 t=2307
pi liang 	批量	c=3 d=2.61087 t=4723
pi long 	罷癃	c=1 d=1 t=4688
pi pei 	匹配	c=7 d=1 t=15976
pian 	偏	c=1 d=1 t=7830
pian 	片	c=1 d=1 t=7796
pian 	篇	c=2 d=1 t=7278
pian bie xing 	篇別性	c=1 d=1 t=15422
pian cha 	偏差	c=2 d=1.00001 t=11965
pian duan 	片段	c=1 d=1 t=7924
pian wei fen 	偏微分	c=1 d=1 t=7860
pian xiang 	偏想	c=1 d=1 t=15592
pian yi 	便宜	c=1 d=1 t=1085
pian yi 	偏移	c=3 d=1 t=5405
piao yi 	漂移	c=1 d=1 t=16353
pin jie 	拼接	c=1 d=1 t=5013
pin lv 	頻率	c=2 d=1 t=14133
ping 	平	c=1 d=1 t=13085
